Tab_ID,Row_Num,Row_Item,T1_node_ID,T1.X,T1.Y,T1.Z,Tr.X,Tr.Y,Tr.Z,T2.X,T2.Y,T2.Z,K1_node_ID,K1.X,K1.Y,K1.Z,K2.X,K2.Y,K2.Z,Area,Area_X+,Area_X-,Area_Y+,Area_Y-,Exterior,Orientation,Workpath_Length,Workpath_Width 
TAB_2_0,2,0,TKNODE_0,16345370.0899,13442652.7245,62197.7485,16345442.5112,13441270.8439,62197.7485,16345521.0151,13439772.8996,62197.7485,TKNODE_1,16345370.0899,13442652.7245,60197.7485,16345434.6608,13441420.6384,62197.7485,4.2558,3.2781,0.0000,0.0000,3.9906,TRUE,H,1.1074,1.5000, 
TAB_2_1,2,1,TKNODE_2,16343372.8308,13442548.0525,62197.7485,16343495.0518,13440215.9372,62197.7485,16343573.5557,13438717.9929,62197.7485,TKNODE_3,16343372.8308,13442548.0525,60197.7485,16343487.2014,13440365.7317,62197.7485,4.3498,3.4356,0.0000,0.0000,3.9909,TRUE,H,1.0536,1.5000, 
TAB_2_2,2,2,TKNODE_4,16341480.2436,13440446.1216,62197.7485,16341532.5334,13439448.3731,62197.7485,16341611.0374,13437950.4288,62197.7485,TKNODE_5,16341480.2436,13440446.1216,60197.7485,16341524.6830,13439598.1675,62197.7485,4.2100,3.4049,0.0000,0.0000,3.9894,TRUE,H,1.0017,1.5000, 
TAB_2_3,2,3,TKNODE_6,16339482.9846,13440341.4496,62197.7485,16339518.6446,13439661.0159,62197.7485,16339597.1485,13438163.0716,62197.7485,TKNODE_7,16339482.9846,13440341.4496,60197.7485,16339510.7942,13439810.8103,62197.7485,4.1368,0.0000,2.1058,0.0000,3.9735,TRUE,H,1.0025,1.5000, 
TAB_2_4,2,4,TKNODE_8,16337485.7255,13440236.7777,62197.7485,16337528.7381,13439416.0494,62197.7485,16337607.2420,13437918.1051,62197.7485,TKNODE_9,16337485.7255,13440236.7777,60197.7485,16337520.8877,13439565.8439,62197.7485,3.6063,2.8537,0.0000,0.0000,3.4835,TRUE,H,1.3036,1.5000, 
TAB_2_5,2,5,TKNODE_10,16337485.7255,13440236.7777,62197.7485,16336006.1813,13439160.1918,62197.7485,16334793.2931,13438277.6374,62197.7485,TKNODE_11,16337485.7255,13440236.7777,60197.7485,16336127.4701,13439248.4473,62197.7485,2.4336,1.2291,0.6913,0.0000,2.2343,TRUE,H,0.4997,1.5000, 
TAB_2_6,2,6,TKNODE_12,16337485.7255,13440236.7777,62197.7485,16335290.4874,13439508.2714,62197.7485,16333866.8334,13439035.8211,62197.7485,TKNODE_13,16337485.7255,13440236.7777,60197.7485,16335432.8528,13439555.5164,62197.7485,1.5632,0.0000,1.2940,0.0000,1.4869,TRUE,H,0.5258,1.5000, 
TAB_2_7,2,7,TKNODE_14,16337485.7255,13440236.7777,62197.7485,16335093.6132,13440111.4124,62197.7485,16333595.6689,13440032.9085,62197.7485,TKNODE_15,16337485.7255,13440236.7777,60197.7485,16335243.4077,13440119.2628,62197.7485,2.7591,0.0000,0.5365,0.7477,0.7036,TRUE,H,0.0000,1.5000, 
TAB_2_8,2,8,TKNODE_16,16337381.0536,13442234.0368,62197.7485,16335513.9934,13442136.1883,62197.7485,16334016.0491,13442057.6844,62197.7485,TKNODE_17,16337381.0536,13442234.0368,60197.7485,16335663.7878,13442144.0387,62197.7485,7.2639,0.0000,1.7467,5.6637,0.0000,TRUE,H,0.0000,1.5000, 
TAB_2_9,2,9,TKNODE_18,16347367.3489,13442757.3964,62197.7485,16347432.8414,13441507.7263,62197.7485,16347511.3453,13440009.7820,62197.7485,TKNODE_19,16347367.3489,13442757.3964,60197.7485,16347424.9910,13441657.5208,62197.7485,18.4930,11.1875,0.0000,0.4982,12.6380,TRUE,H,1.0022,1.5000, 
