Node_ID,X_Coord,Y_Coord,Z_Coord,Is_Support,Is_Load_Bearing,U1,U2,U3,R1,R2,R3,Remove,Add_Back 
P001115,16353254.4542,13445068.6712,58197.7485474,1,True,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE 
P001116,16351257.1952,13444963.9993,58197.7485474,1,True,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE 
P001117,16349259.9361,13444859.3273,58197.7485474,1,True,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE 
P001118,16347262.6770,13444754.6554,58197.7485474,1,True,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE 
P001119,16345265.4180,13444649.9835,58197.7485474,1,True,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE 
P001120,16343268.1589,13444545.3116,58197.7485474,1,True,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE 
P001121,16341270.8998,13444440.6397,58197.7485474,1,True,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE 
P001122,16339273.6408,13444335.9678,58197.7485474,1,True,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE 
P001123,16337276.3817,13444231.2959,58197.7485474,1,True,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE 
P001124,16335279.1226,13444126.6240,58197.7485474,1,True,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE 
P001217,16349364.6080,13442862.0683,58197.7485474,1,True,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE 
P001218,16347367.3489,13442757.3964,58197.7485474,1,True,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE 
P001219,16345370.0899,13442652.7245,58197.7485474,1,True,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE 
P001220,16343372.8308,13442548.0525,58197.7485474,1,True,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE 
P001221,16341375.5717,13442443.3806,58197.7485474,1,True,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE 
P001222,16339378.3127,13442338.7087,58197.7485474,1,True,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE 
P001223,16337381.0536,13442234.0368,58197.7485474,1,True,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE 
